rank,usage_tier,score,register,jlpt,id,grammar,meaning,url,norm
37,S (ubiquitous),109.65,general,N5,30.0,だろう,"Right?, Probably, Isn't it?",https://bunpro.jp/grammar_points/%E3%81%A0%E3%82%8D%E3%81%86,だろう
38,S (ubiquitous),109.65,general,N5,60.0,ている①,"Is, Am, Are (~ing)",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B1,ている
39,S (ubiquitous),109.65,general,N5,80.0,ている②,"State of being, Has (have) done",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B2,ている
40,S (ubiquitous),109.65,general,N5,116.0,ている③,"Has/have done, Is ~ing (Repetition)",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B3,ている
41,S (ubiquitous),109.3,general,N5,29.0,でしょう,"Right?, Probably, Isn't it?",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%97%E3%82%87%E3%81%86,でしょう
42,S (ubiquitous),109.3,archaic/literary,N5,67.0,じゃない,"Is not, Isn't",https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84,じゃない
43,S (ubiquitous),109.3,general,N5,125.0,けれども,"But, Although",https://bunpro.jp/grammar_points/%E3%81%91%E3%82%8C%E3%81%A9%E3%82%82,けれども
44,S (ubiquitous),106.0,general,N4,136.0,と,"If, When, Whenever, And, [Conditional]",https://bunpro.jp/grammar_points/%E3%81%A8-conditional,と
45,S (ubiquitous),106.0,general,N4,1.0,でも,"Or something,  Any... (with question words), No matter (who)",https://bunpro.jp/grammar_points/%E3%81%A7%E3%82%82,でも
46,S (ubiquitous),106.0,general,N4,21.0,まで,"Even, To even, To the extent of",https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%A7,まで
47,S (ubiquitous),106.0,general,N4,31.0,より,"More than, Over",https://bunpro.jp/grammar_points/%E3%82%88%E3%82%8A,より
48,S (ubiquitous),106.0,general,N4,35.0,のに,"Despite, Although, Even though",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AB-despite,のに
49,S (ubiquitous),106.0,general,N4,37.0,など,"Such as, Things like, Etc., And so on",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%A9,など
50,S (ubiquitous),106.0,general,N4,47.0,かな,I wonder,https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%AA,かな
51,S (ubiquitous),106.0,general,N4,41.0,さ,Converting adjectives to nouns,https://bunpro.jp/grammar_points/%E3%81%95,さ
52,S (ubiquitous),106.0,general,N4,142.0,かい,Question marker,https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%84,かい
53,S (ubiquitous),105.65,general,N4,7.0,ていく,"To ~ and go, To go on, To start",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%81%8F,ていく
54,S (ubiquitous),105.65,general,N4,8.0,てくる,"To come to, To become, To continue, To be starting to, Has been ~ing",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8B,てくる
55,S (ubiquitous),105.65,general,N4,65.0,ておく,To do something in advance,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8A%E3%81%8F,ておく
56,S (ubiquitous),105.65,general,N4,106.0,てみる,To try to,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%BF%E3%82%8B,てみる
57,S (ubiquitous),105.65,general,N4,161.0,かしら,I wonder,https://bunpro.jp/grammar_points/%E3%81%8B%E3%81%97%E3%82%89,かしら
58,S (ubiquitous),102.0,general,N3,31.0,のに,In order to,https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AB,のに
59,S (ubiquitous),101.65,general,N3,11.0,あまり,So much...that,https://bunpro.jp/grammar_points/%E3%81%82%E3%81%BE%E3%82%8A,あまり
60,S (ubiquitous),100.0,general,N0,5.0,ん (Slang),Slang abbreviation,https://bunpro.jp/grammar_points/%E3%82%93-slang,ん(Slang)
61,S (ubiquitous),100.0,general,N0,6.0,つ (Slang),"Called, Said that (slang abbreviation)",https://bunpro.jp/grammar_points/%E3%81%A4-slang,つ(Slang)
62,S (ubiquitous),100.0,general,N0,1.0,ぞ,"Strong emphasis (toward anyone), !",https://bunpro.jp/grammar_points/%E3%81%9E,ぞ
63,S (ubiquitous),100.0,general,N0,2.0,ぜ,"Strong emphasis (friendly or familiar), !",https://bunpro.jp/grammar_points/%E3%81%9C,ぜ
64,S (ubiquitous),100.0,general,N0,3.0,わ,"You know?, Oh?, Ever so, Oh how I ever (emphasis)",https://bunpro.jp/grammar_points/%E3%82%8F,わ
65,S (ubiquitous),100.0,general,N0,10.0,やや,"A little bit, Marginally, Slightly",https://bunpro.jp/grammar_points/%E3%82%84%E3%82%84,やや
66,S (ubiquitous),99.65,general,N0,8.0,がいい,"You should, It would be good to",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%84%E3%81%84,がいい
67,S (ubiquitous),99.3,archaic/literary,N0,11.0,いずれも,"All (positive), None (negative), Both, Whatever, Whatsoever",https://bunpro.jp/grammar_points/%E3%81%84%E3%81%9A%E3%82%8C%E3%82%82,いずれも
68,S (ubiquitous),98.0,general,N2,144.0,とか,"I heard that… something like, They said ... or something ",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8B,とか
69,A (very common),90.0,general,N5,76.0,だけ,"Only, Just",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91,だけ
70,A (very common),89.65,general,N5,81.0,てから,"Once...is done, Once...happens, After doing",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8B%E3%82%89,てから
71,A (very common),89.65,general,N5,92.0,くらい ①,"About, Approximately",https://bunpro.jp/grammar_points/%E3%81%8F%E3%82%89%E3%81%841,くらい
72,A (very common),89.3,general,N5,86.0,てもいい,"It is alright/fine/okay even if, Can/may, ~ is also okay",https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82%E3%81%84%E3%81%84,てもいい
73,A (very common),89.3,general,N5,105.0,Verb + てもいい,"It's okay to, It's alright to, Can/may",https://bunpro.jp/grammar_points/verb-%E3%81%A6%E3%82%82%E3%81%84%E3%81%84,Verb+てもいい
74,A (very common),88.95,general,N5,55.0,けど・だけど,"But, However",https://bunpro.jp/grammar_points/%E3%81%91%E3%81%A9-%E3%81%A0%E3%81%91%E3%81%A9,けど・だけど
75,A (very common),88.6,general,N5,108.0,てはいけない,"Must not, May not",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84,てはいけない
76,A (very common),88.6,general,N5,115.0,たことがある,Have done before,https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%93%E3%81%A8%E3%81%8C%E3%81%82%E3%82%8B,たことがある
77,A (very common),88.6,archaic/literary,N5,68.0,じゃなかった,"Was not, Wasn't",https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%8B%E3%81%A3%E3%81%9F,じゃなかった
78,A (very common),88.25,general,N5,36.0,～んです・のです,"Explanatory, Emphasis, The fact is",https://bunpro.jp/grammar_points/-%E3%82%93%E3%81%A7%E3%81%99-%E3%81%AE%E3%81%A7%E3%81%99,~んです・のです
79,A (very common),88.25,archaic/literary,N5,113.0,なくちゃ・なきゃ,"Must do, Have to do",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A1%E3%82%83-%E3%81%AA%E3%81%8D%E3%82%83,なくちゃ・なきゃ
80,A (very common),87.9,general,N5,109.0,なくてはいけない,"Must do, Have to do",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%81%AF%E3%81%84%E3%81%91%E3%81%AA%E3%81%84,なくてはいけない
81,A (very common),87.9,general,N5,110.0,なくてはならない,"Must do, Have to do",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%81%AF%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84,なくてはならない
82,A (very common),86.85,general,N5,98.0,のなかで～がいちばん～,"Out of ~, ~ is the best/most ~",https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AA%E3%81%8B%E3%81%A7-%E3%81%8C%E3%81%84%E3%81%A1%E3%81%B0%E3%82%93,のなかで~がいちばん~
83,A (very common),86.0,general,N4,49.0,ば,"If… then, (Conditional)",https://bunpro.jp/grammar_points/%E3%81%B0,ば
84,A (very common),86.0,general,N4,39.0,こと,Converting a verb into a noun,https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8,こと
85,A (very common),86.0,general,N4,40.0,そう,"Look like, Appear, Seem, Have a feeling that",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86,そう
86,A (very common),86.0,general,N4,44.0,Verb[よう],"Let's, I shall (Casual volitional)",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86-%E3%81%8A%E3%81%86,Verb[よう]
87,A (very common),86.0,general,N4,50.0,なら,"Were it, If, If it's the case, As for (Conditional)",https://bunpro.jp/grammar_points/%E3%81%AA%E3%82%89,なら
88,A (very common),86.0,general,N4,97.0,ても,"Even if, Even though",https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82,ても
89,A (very common),86.0,general,N4,126.0,たら,"When, From when, Just when, If",https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%89,たら
90,A (very common),86.0,archaic/literary,N4,19.0,とき,"When, At the time of",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8D,とき
91,A (very common),85.65,general,N4,10.0,だけで,"Just by, Just with",https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%A7,だけで
92,A (very common),85.65,general,N4,27.0,あとで,"After, Later",https://bunpro.jp/grammar_points/%E3%81%82%E3%81%A8%E3%81%A7,あとで
93,A (very common),85.65,general,N4,32.0,ごとに,"Each, Every",https://bunpro.jp/grammar_points/%E3%81%94%E3%81%A8%E3%81%AB,ごとに
94,A (very common),85.65,general,N4,38.0,みたい,"Like, Similar to, Resembling",https://bunpro.jp/grammar_points/%E3%81%BF%E3%81%9F%E3%81%84,みたい
95,A (very common),85.65,general,N4,45.0,ようだ,"It seems that, It appears that, It looks like",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%A0,ようだ
96,A (very common),85.65,general,N4,60.0,といい,"I hope, I wish, You should, It would be good",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%84,といい
97,A (very common),85.65,general,N4,64.0,らしい ①,"Seems like, Apparently, I heard",https://bunpro.jp/grammar_points/%E3%82%89%E3%81%97%E3%81%841,らしい
98,A (very common),85.65,general,N4,137.0,ないと,"Must, Have to",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%84%E3%81%A8,ないと
99,A (very common),85.65,general,N4,146.0,ながら,"While ~ing, During, As",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8C%E3%82%89,ながら
100,A (very common),85.65,general,N4,160.0,ように,"So that, In order to, In such a way that",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB,ように
101,A (very common),85.65,general,N4,162.0,らしい ②,"typical of, -ish・like, appropriate for, becoming of, befitting",https://bunpro.jp/grammar_points/%E3%82%89%E3%81%97%E3%81%842,らしい
102,A (very common),85.65,archaic/literary,N4,80.0,ずっと ①,"Continuously, All throughout, Entire time, Ever (since), The whole time, All the way",https://bunpro.jp/grammar_points/%E3%81%9A%E3%81%A3%E3%81%A81,ずっと
103,A (very common),85.65,archaic/literary,N4,134.0,はずだ,"Bound to (be), Expected to (be), Should be (able)",https://bunpro.jp/grammar_points/%E3%81%AF%E3%81%9A%E3%81%A0,はずだ
104,A (very common),85.3,general,N4,30.0,とうとう,"Finally, After all",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%86%E3%81%A8%E3%81%86,とうとう
105,A (very common),85.3,general,N4,36.0,とおもう,I think,https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8A%E3%82%82%E3%81%86,とおもう
106,A (very common),85.3,general,N4,43.0,そういう,"Like that, Kind of",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%81%84%E3%81%86,そういう
107,A (very common),85.3,general,N4,74.0,ほとんど,"Almost all, Most, Hardly any, Few (Adverbial noun)",https://bunpro.jp/grammar_points/%E3%81%BB%E3%81%A8%E3%82%93%E3%81%A9,ほとんど
108,A (very common),85.3,general,N4,87.0,Number + しか〜ない,"No more than, Not exceeding, As few as・as little as, Only",https://bunpro.jp/grammar_points/number-%E3%81%97%E3%81%8B-%E3%81%AA%E3%81%84,Number+しかない
109,A (very common),85.3,general,N4,92.0,ばあいは,"In the event of, In the case of",https://bunpro.jp/grammar_points/%E3%81%B0%E3%81%82%E3%81%84%E3%81%AF,ばあいは
110,A (very common),85.3,general,N4,110.0,てもらう,"To get someone to do, To have someone do",https://bunpro.jp/grammar_points/%E3%81%A6%E3%82%82%E3%82%89%E3%81%86,てもらう
111,A (very common),85.3,general,N4,131.0,たとえば,For example,https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%A8%E3%81%88%E3%81%B0,たとえば
112,A (very common),85.3,general,N4,157.0,たばかり,"Just did, Something just happened",https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%B0%E3%81%8B%E3%82%8A,たばかり
113,A (very common),85.3,general,N4,164.0,とみえる,"It seems that, It can be deduced, One can conclude that",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%BF%E3%81%88%E3%82%8B,とみえる
114,A (very common),85.3,general,N4,168.0,〜でも 〜でも,"Whether ~ or, Neither ~ or",https://bunpro.jp/grammar_points/%E3%81%A7%E3%82%82-%E3%81%A7%E3%82%82,でもでも
115,A (very common),85.3,general,N4,172.0,それでも,"But still, And yet, Even so, Nevertheless",https://bunpro.jp/grammar_points/%E3%81%9D%E3%82%8C%E3%81%A7%E3%82%82,それでも
116,A (very common),85.3,general,N4,173.0,たらどう,"Why don't you...?, What if you did...?",https://bunpro.jp/grammar_points/%E3%81%9F%E3%82%89%E3%81%A9%E3%81%86,たらどう
117,A (very common),85.3,archaic/literary,N4,68.0,ときいた,I heard that,https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8D%E3%81%84%E3%81%9F,ときいた
118,B (common),84.95,general,N4,18.0,ということ,"~ing, The ~ that ~ (Nominalization)",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%86%E3%81%93%E3%81%A8,ということ
119,B (common),84.95,general,N4,34.0,るところだ,"About to, On the verge of",https://bunpro.jp/grammar_points/%E3%82%8B%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0,るところだ
120,B (common),84.95,general,N4,42.0,とか～とか,"Among other things, For example, Such as",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8B-%E3%81%A8%E3%81%8B,とか~とか
121,B (common),84.95,general,N4,61.0,ようになる,"To reach the point that, To come to be that, To turn into",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%AA%E3%82%8B,ようになる
122,B (common),84.95,general,N4,128.0,がひつよう,"Need, Necessary",https://bunpro.jp/grammar_points/%E3%81%8C%E3%81%B2%E3%81%A4%E3%82%88%E3%81%86,がひつよう
123,B (common),84.95,general,N4,139.0,しか～ない,"There's only, Nothing but",https://bunpro.jp/grammar_points/%E3%81%97%E3%81%8B-%E3%81%AA%E3%81%84,しか~ない
124,B (common),84.95,general,N4,140.0,だけでなく,Not only… but also,https://bunpro.jp/grammar_points/%E3%81%A0%E3%81%91%E3%81%A7%E3%81%AA%E3%81%8F,だけでなく
125,B (common),84.95,general,N4,147.0,たところだ,"Just finished doing, Was just doing",https://bunpro.jp/grammar_points/%E3%81%9F%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0,たところだ
126,B (common),84.95,general,N4,150.0,ようにする,"To try to, To make sure to, To endeavor to",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%99%E3%82%8B,ようにする
127,B (common),84.95,general,N4,154.0,ようにいう,"To tell, request, or order to do (in such a way)",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%84%E3%81%86,ようにいう
128,B (common),84.95,general,N4,177.0,ばよかった,"Should have, I wish, It would have been better to",https://bunpro.jp/grammar_points/%E3%81%B0%E3%82%88%E3%81%8B%E3%81%A3%E3%81%9F,ばよかった
129,B (common),84.95,archaic/literary,N4,63.0,じゃないか,"Isn't it?, Is it not?",https://bunpro.jp/grammar_points/%E3%81%98%E3%82%83%E3%81%AA%E3%81%84%E3%81%8B,じゃないか
130,B (common),84.95,archaic/literary,N4,138.0,はずがない,"Hardly possible, Cannot be, Highly unlikely, Improbable",https://bunpro.jp/grammar_points/%E3%81%AF%E3%81%9A%E3%81%8C%E3%81%AA%E3%81%84,はずがない
131,B (common),84.6,general,N4,54.0,かもしれない,"Might, Maybe, Probably",https://bunpro.jp/grammar_points/%E3%81%8B%E3%82%82%E3%81%97%E3%82%8C%E3%81%AA%E3%81%84,かもしれない
132,B (common),84.6,general,N4,56.0,そうに・そうな,"Seem, Look like, Sound",https://bunpro.jp/grammar_points/%E3%81%9D%E3%81%86%E3%81%AB-%E3%81%9D%E3%81%86%E3%81%AA,そうに・そうな
133,B (common),84.6,general,N4,83.0,ように・ような,"As・like, Just like",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB-%E3%82%88%E3%81%86%E3%81%AA,ように・ような
134,B (common),84.6,general,N4,105.0,なくてもいい,Don't have to,https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8F%E3%81%A6%E3%82%82%E3%81%84%E3%81%84,なくてもいい
135,B (common),84.6,general,N4,156.0,ようにいのる,"Pray that/for, Hope that/for, Keep fingers crossed that",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB%E3%81%84%E3%81%AE%E3%82%8B,ようにいのる
136,B (common),84.6,general,N4,175.0,とされている,"To be considered, To be deemed, Be regarded as, Be accepted as, To be said, To be accredited with",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%95%E3%82%8C%E3%81%A6%E3%81%84%E3%82%8B,とされている
137,B (common),84.6,archaic/literary,N4,141.0,ことができる,"Can, Be able to",https://bunpro.jp/grammar_points/%E3%81%93%E3%81%A8%E3%81%8C%E3%81%A7%E3%81%8D%E3%82%8B,ことができる
138,B (common),84.25,general,N4,96.0,といってもいい,"You could say, You might say",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%A3%E3%81%A6%E3%82%82%E3%81%84%E3%81%84,といってもいい
139,B (common),84.25,general,N4,98.0,てしまう・ちゃう,"To do something by accident, To finish completely・totally, Unfortunately",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%97%E3%81%BE%E3%81%86-%E3%81%A1%E3%82%83%E3%81%86,てしまう・ちゃう
140,B (common),84.25,general,N4,104.0,ているあいだに,"While, During the time that ~",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B%E3%81%82%E3%81%84%E3%81%A0%E3%81%AB,ているあいだに
141,B (common),84.25,general,N4,130.0,ひつようがある,It is necessary to,https://bunpro.jp/grammar_points/%E3%81%B2%E3%81%A4%E3%82%88%E3%81%86%E3%81%8C%E3%81%82%E3%82%8B,ひつようがある
142,B (common),84.25,general,N4,148.0,ているところだ,In the process of doing ~ right now/at this moment,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%82%8B%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0,ているところだ
143,B (common),84.25,general,N4,176.0,といわれている,"It is said that, Is known as",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%82%8F%E3%82%8C%E3%81%A6%E3%81%84%E3%82%8B,といわれている
144,B (common),83.9,general,N4,55.0,みたいに・みたいな,"Like, Similar to, Resembling",https://bunpro.jp/grammar_points/%E3%81%BF%E3%81%9F%E3%81%84%E3%81%AB-%E3%81%BF%E3%81%9F%E3%81%84%E3%81%AA,みたいに・みたいな
145,B (common),83.9,general,N4,57.0,のように・のような,"Like (Noun), Similar to (Noun)",https://bunpro.jp/grammar_points/%E3%81%AE%E3%82%88%E3%81%86%E3%81%AB-%E3%81%AE%E3%82%88%E3%81%86%E3%81%AA,のように・のような
146,B (common),83.9,general,N4,103.0,ように～てほしい,"Want ~ to ~ like ~, Want ~ to be able to ~, Want ~ to ~ in the way of ~",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%AB-%E3%81%A6%E3%81%BB%E3%81%97%E3%81%84,ように~てほしい
147,B (common),83.9,general,N4,133.0,んだけど・んですが,"But..., And...",https://bunpro.jp/grammar_points/%E3%82%93%E3%81%A0%E3%81%91%E3%81%A9-%E3%82%93%E3%81%A7%E3%81%99%E3%81%8C,んだけど・んですが
148,B (common),83.9,general,N4,149.0,と～と、どちらが,Between ~ which one,https://bunpro.jp/grammar_points/%E3%81%A8-%E3%81%A8-%E3%81%A9%E3%81%A1%E3%82%89%E3%81%8C,と~と、どちらが
149,B (common),83.9,general,N4,151.0,なければいけない,"Must do, Have to do",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%84%E3%81%91%E3%81%AA%E3%81%84,なければいけない
150,B (common),83.9,general,N4,152.0,なければならない,"Must do, Have to do",https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84,なければならない
151,B (common),83.55,general,N4,114.0,てくれてありがとう,Thank you for ~ ing,https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%A6%E3%81%82%E3%82%8A%E3%81%8C%E3%81%A8%E3%81%86,てくれてありがとう
152,B (common),83.55,polite/honorific,N4,125.0,ていただけませんか,"Won't you, Could you please (Humble request)",https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%81%9F%E3%81%A0%E3%81%91%E3%81%BE%E3%81%9B%E3%82%93%E3%81%8B,ていただけませんか
153,B (common),83.55,archaic/literary,N4,145.0,でできる・からできる,"Made of, Made from, Produced from, Come from",https://bunpro.jp/grammar_points/%E3%81%A7%E3%81%A7%E3%81%8D%E3%82%8B-%E3%81%8B%E3%82%89%E3%81%A7%E3%81%8D%E3%82%8B,でできる・からできる
154,B (common),83.2,general,N4,58.0,〜ようと思う・〜おうと思う,"I think I will, I think I shall, Going to, Gonna (Volitional + と思う)",https://bunpro.jp/grammar_points/%E3%82%88%E3%81%86%E3%81%A8%E6%80%9D%E3%81%86-%E3%81%8A%E3%81%86%E3%81%A8%E6%80%9D%E3%81%86,ようと思う・おうと思う
155,B (common),83.2,general,N4,174.0,とかんがえられている,"Is considered, Is thought of as",https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8B%E3%82%93%E3%81%8C%E3%81%88%E3%82%89%E3%82%8C%E3%81%A6%E3%81%84%E3%82%8B,とかんがえられている
