rank,lemma,reading,count,meanings_en,pos_tags,alt_readings_kana,alt_spellings_kanji
34,あの,アノ,10762228,er; say; that; the; those; um; well,"interjection (kandoushi), pre-noun adjectival (rentaishi)",あの あのう あのー あん,彼の
35,ここ,ココ,10754968,each; individual; nine; one by one; separate,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no', numeric",きゅう く ここ ここの この,九 個々 個個 玖 箇々 箇箇 ９
36,少し,スコシ,10030465,few; little; little while; short distance; small quantity; something,"adverb (fukushi), noun (common) (futsuumeishi)",すこし,些し 寡し 少し
37,出る,デ,10023453,"to act; to answer (phone, door, etc.); to appear; to appear (in print); to assume (an attitude); to attend; to be announced; to be brought up; to be derived from; to be detected; to be discovered; to be exhibited","Ichidan verb, intransitive verb",でる,出る
38,良い,ヨイ,9996451,agreeable; all right; beneficial; enough; excellent; fine; good; nice; no problem; OK; pleasant; prepared,adjective (keiyoushi),えい よい,佳い 吉い 善い 好い 宜い 良い
39,知る,シラ,9979507,to be acquainted with (a person); to be acquainted with (a procedure); to be aware of; to be conscious of; to cognise; to cognize; to comprehend; to concern; to experience; to feel; to get to know; to go through,"Godan verb with 'ru' ending, transitive verb",しる,知る 識る
40,言葉,コトバ,9181600,(manner of) speaking; dialect; expression; language; language acquisition; learning to speak; phrase; remark; speech; term; word; words,noun (common) (futsuumeishi),けとば ことば,言葉 詞 辞
41,入る,ハイッ,9072663,to accommodate; to break into; to contain; to enroll; to enter; to get; to get turned on; to go into; to have (an income of); to hold; to join; to obtain,"Godan verb with 'ru' ending, intransitive verb",はいる,入る 這入る
42,そこ,ソコ,9010315,bottom; sole,noun (common) (futsuumeishi),そこ,底
43,分かる,ワカラ,8977021,I know!; I think so too!; to be discovered; to be found out; to be known; to be realised; to be realized; to become clear; to comprehend; to follow; to get; to grasp,"Godan verb with 'ru' ending, interjection (kandoushi), intransitive verb",わかる,分かる 分る 判る 解る
44,ちゃん,チャン,8750004,father,noun (common) (futsuumeishi),あて かそ かぞ しし ちち ちゃん てて とと,父
45,わかる,ワカラ,8619811,I know!; I think so too!; to be discovered; to be found out; to be known; to be realised; to be realized; to become clear; to comprehend; to follow; to get; to grasp,"Godan verb with 'ru' ending, interjection (kandoushi), intransitive verb",わかる,分かる 分る 判る 解る
46,魔法,マホウ,8542794,magic; sorcery; spell; witchcraft,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",まほう,魔法
47,考える,カンガエ,8450081,to allow for; to anticipate; to bear in mind; to believe; to come up with; to conclude; to consider; to consider (as); to contemplate; to contrive; to devise; to expect,"Ichidan verb, transitive verb",かんがえる,勘える 稽える 考える
48,持つ,モッ,8320296,"to be durable; to be in charge of; to carry; to have; to have (opportunity, etc.); to hold (in one's hand); to hold (meeting, etc.); to keep; to last; to maintain; to own; to possess","Godan verb with 'tsu' ending, transitive verb",もつ,持つ
49,無い,ナイ,8244469,impossible; nonexistent; not; not being (there); not had; to have not; to not be; unique; unowned; unpossessed; won't happen,"adjective (keiyoushi), auxiliary adjective",ない,無い
50,なんて,ナンテ,8036978,how ...!; what ...!; what's that?; what?,"adverb (fukushi), interjection (kandoushi), noun or verb acting prenominally",なんて,何て
51,お前,オマエ,7812258,"presence (of a god, nobleman, etc.); you",pronoun,おまい おまえ,お前 御前
52,つく,ツイ,7801851,to accede; to arrive at; to ascend (the throne); to assume; to be an apprentice; to be employed; to be hired; to commence; to depart; to reach; to sit at (e.g. the table); to sit on,"Godan verb with 'ku' ending, intransitive verb",つく,即く 就く 着く
53,ところ,トコロ,7650890,about to; address; area; as a result; aspect; district; facet; have just done; just finished doing; locality; matter; on the verge of,"adverb (fukushi), noun (common) (futsuumeishi), suffix",とこ ところ,処 所 處
54,出す,ダシ,7329704,"... out (e.g. to jump out, to carry out); to begin ...; to burst into ...; to get out; to make public; to produce (a sound); to publish; to put out; to reveal; to send (e.g. letter); to serve (food); to show","Godan verb with 'su' ending, suffix, transitive verb",だす,出す
55,出来る,デキ,7317667,to be able (in a position) to do; to be built; to be completed; to be good at; to be made; to be permitted (to do); to be raised; to be ready; to be up to the task; to become intimate; to become pregnant; to grow,"Ichidan verb, intransitive verb",できる,出きる 出來る 出来る
56,しかし,シカシ,7144840,but; however,conjunction,しかし,併し 然し
57,みる,ミ,7087591,to assess; to attend to; to check; to examine; to examine (medically); to experience; to find (that) ...; to give ... a try; to have a go at ...; to judge; to keep an eye on; to look,"Ichidan verb, auxiliary verb, transitive verb",みる,見る 視る 観る 診る
58,また,マタ,7027245,"(what, why) on earth; again; also; and; another time; as well; besides; crotch; crutch; fork (in a tree, road, river, etc.); furthermore; groin","adverb (fukushi), conjunction, noun (common) (futsuumeishi), prefix",また,亦 俣 又 叉 復 股 胯
59,ああ,アア,6976702,aah; ah!; alas!; argh; gah; gotcha; hey!; indeed; like that; oh!; right; so,"adverb (fukushi), interjection (kandoushi)",あぁ ああ あー アァ アア アー,嗚呼 嗟 噫
60,二人,フタリ,6798772,couple; pair; two people; two persons,noun (common) (futsuumeishi),ににん ふたり,二人 ２人
61,まま,ママ,6709278,nursing mother; wet nurse,noun (common) (futsuumeishi),うば おんば ちうば ちおも ちも にゅうぼ にゅうも まま めのと,乳母
62,こんな,コンナ,6605841,like this; such; this kind of; this sort of,pre-noun adjectival (rentaishi),こんな,
63,ほど,ホド,6593343,(a) distance; (span of) time; about; approximately; around; as much as ...; bounds; degree; extent; like ...; limit; measure,"adverb (fukushi), noun (common) (futsuumeishi), particle",ほど,程
64,見える,ミエ,6585615,to appear; to be in sight; to be seen; to come; to look; to seem,"Ichidan verb, intransitive verb",みえる,見える
65,まだ,マダ,6430501,(more) still; (not) yet; as yet; at least; comparatively; incomplete; more; not yet done; only; relatively; still; unfinished,"adjectival nouns or quasi-adjectives (keiyodoshi), adverb (fukushi)",いまだ まだ,未だ
66,世界,セカイ,6387930,circle; realm governed by one Buddha; society; space; sphere; the universe; the world; world; world-famous; world-renowned,"noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",せかい,世界
67,いや,イヤ,6312098,detestable; disagreeable; reluctant; unpleasant,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",いや や イヤ,厭 厭や 嫌
68,本当,ホントウ,6205257,actuality; authentic; correct; fact; genuine; natural; official; proper; real; reality; right; truth,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ほんと ほんとう ホント ホントウ ホントー,本当 本當
69,しか,シカ,6185701,dentistry; Japanese and Chinese poetry; poems; poetry,noun (common) (futsuumeishi),しいか しか,歯科 詩哥 詩歌
70,など,ナド,6143874,and so forth; and the like; et cetera; etc.; for example; for instance; for one; or something; the likes of,particle,など,抔 等
71,使う,ツカッ,6106623,"to consume; to employ; to handle; to make use of; to manage; to manipulate; to put to use; to speak; to spend; to use (a person, animal, puppet, etc.); to use (a thing, method, etc.); to use (language)","Godan verb with 'u' ending, transitive verb",つかう,使う 遣う
72,時間,ジカン,6099122,class; hour; lesson; period; time,noun (common) (futsuumeishi),じかん,時間
73,わけ,ワケ,5952983,"cause; circumstances; conclusion from reasoning, judgement or calculation based on something read or heard; meaning; motive; pretext; reason; situation",noun (common) (futsuumeishi),りゆう わけ,理由 訳
74,部屋,ヘヤ,5920395,apartment; chamber; flat; pad; room; stable,noun (common) (futsuumeishi),へや,部屋
75,人間,ニンゲン,5903440,character (of a person); human; human being; humankind; man; mankind; person,noun (common) (futsuumeishi),にんげん,人間
76,たり,タリ,5868512,"-ing and -ing (e.g. ""coming and going""); doing such things as...; expresses a command; indicates completion or continuation of an action; to be","auxiliary verb, irregular ru verb, plain form ends with -ri, particle",たり だり,
77,みたい,ミタイ,5838477,-like; resembling; similar to; sort of,"adjectival nouns or quasi-adjectives (keiyodoshi), suffix",みたい,
78,同じ,オナジ,5525848,alike; anyhow; anyway; changeless; common (origin); equal; equivalent; identical; in either case; same; similar; uniform,"adverb (fukushi), noun (common) (futsuumeishi), noun or verb acting prenominally",おなじ おんなじ,同じ
79,しれる,シレ,5478734,"to be discovered; to be evident; to be extremely severe; to be known; to be obvious; to be understood; to be very intense (worry, hope, etc.); to become known; to come to light; to go without saying; to obviously not amount to much; to seem trivial","Ichidan verb, intransitive verb",しれる,知れる
80,ただ,タダ,5397032,as is; but; common; free of charge; however; just; merely; nevertheless; only; ordinary; safe; simply,"adverb (fukushi), conjunction, noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",ただ タダ,但 只 唯 常 徒
81,ちょっと,チョット,5359889,(not) easily; (not) readily; a bit; a little; briefly; come on; excuse me; fairly; for a moment; hey!; just a minute; pretty,"adverb (fukushi), interjection (kandoushi)",ちょいと ちょっと ちょと チョッと チョット,一寸 鳥渡
82,悪い,ワルイ,5351631,(my) bad; at fault; bad; bad (at doing something); difficult to ...; evil; hard to ...; in the wrong; inferior; insufficient; not beautiful; poor,"adjective (keiyoushi), interjection (kandoushi), suffix",がたい にくい わるい,悪い 惡い 惡るい 難い
83,今日,キョウ,5318580,nowadays; recently; these days; this day; today,"adverb (fukushi), noun (common) (futsuumeishi)",きょう こんじつ こんち こんにち,今日
84,どこ,ドコ,5241332,"how much (long, far); what extent; what place; where",pronoun,いずく いずこ いづこ いどこ どこ,何処 何所 何處
85,おく,オイ,5194371,"100,000,000; 10^8; back (of a house, drawer, etc.); bottom (e.g. of one's heart); depths (e.g. of a forest); heart; hundred million; inner part; inside; interior; recesses","noun (common) (futsuumeishi), numeric",おく,億 奥 奧
86,くらい,クライ,5174138,dark; dark (e.g. past); dark (in colour); dark (mood); depressed; dispirited; down in the dumps; dull; gloomy; hopeless; ignorant (of); ill-boding,adjective (keiyoushi),くらい,冥い 昏い 暗い 闇い
87,違う,チガウ,5057569,"isn't it?; to be different from promised; to differ (from); to not be in the usual condition; to not match the correct (answer, etc.); to vary; wasn't it?","Godan verb with 'u' ending, expressions (phrases, clauses, etc.), intransitive verb",ちがう,違う
88,はず,ハズ,5056980,bound (to be); expected (to be); must (be); nock (of a bow); nock (of an arrow); nock-shaped grip (between thumb and forefinger); should (be); wooden frame on the tip of the mast of a Japanese ship that prevents the hawser from falling out,"auxiliary, noun (common) (futsuumeishi)",はず,弭 筈
89,じゃ,ジャ,4992154,large snake; serpent; snake,noun (common) (futsuumeishi),くちなわ じゃ へび へみ ヘビ,蛇
90,すぐ,スグ,4921564,at once; before long; directly; easily; frank; honest; immediately; just (handy); nearby; readily; right (near); right away,"adjectival nouns or quasi-adjectives (keiyodoshi), adverb (fukushi), noun (common) (futsuumeishi)",すぐ,直ぐ
91,よる,ヨッ,4919584,dinner; evening; night; to approach; to be close to; to be swayed by (a person); to come near; to come together; to decide on a price and come to a deal; to draw near; to drop by; to gather (in one place),"Godan verb with 'ru' ending, adverb (fukushi), intransitive verb, noun (common) (futsuumeishi)",よ よる,夜 寄る
92,はい,ハイ,4907627,lung,noun (common) (futsuumeishi),はい,肺
93,待つ,マッ,4896321,to anticipate; to await; to depend on; to look forward to; to need; to wait,"Godan verb with 'tsu' ending, intransitive verb, transitive verb",まつ,俟つ 待つ
94,始める,ハジメ,4797611,"to begin; to begin to ...; to commence; to establish; to initiate; to open (e.g. a store); to originate; to start; to start ...; to start up (a business, society, etc.)","Ichidan verb, auxiliary verb, transitive verb",はじめる,創める 始める
95,向かう,ムカッ,4732244,to face; to go towards; to head towards,"Godan verb with 'u' ending, intransitive verb",むかう,向う 向かう 対う
96,こう,コウ,4702319,crimson; deep red; lipstick; rouge,noun (common) (futsuumeishi),くれない こう べに,紅
97,相手,アイテ,4691864,"addressee; companion; company; opponent (sports, etc.); other party; partner",noun (common) (futsuumeishi),あいて,相手
98,笑う,ワラッ,4648767,to be dumbfounded; to be flabbergasted; to laugh; to ridicule; to smile; to sneer,"Godan verb with 'u' ending, intransitive verb",わらう,咲う 嗤う 笑う
99,おる,オリ,4598112,to bend; to break; to break off; to end; to fold; to fracture; to interrupt; to make (origami); to pick (e.g. flowers); to snap off; to weave,"Godan verb with 'ru' ending, transitive verb",おる,折る 織る
100,戻る,モドッ,4578220,to be returned; to go back; to rebound; to recover (e.g. something lost); to return; to spring back; to turn back (e.g. half-way),"Godan verb with 'ru' ending, intransitive verb",もどる,戻る
101,かける,カケ,4572954,"to address (someone); to advance (against one's enemy); to apply (insurance); to argue (in court); to be about to ...; to be partway doing ...; to begin (but not complete) ...; to bet; to bind; to burden (someone); to canter; to catch (in a trap, etc.)","Ichidan verb, intransitive verb, suffix, transitive verb",かける,懸ける 掛ける 駆ける 駈ける
102,一人,ヒトリ,4513400,alone; being alone; being by oneself; being single; being unmarried; by oneself; just; one person; only; simply,"adverb (fukushi), noun (common) (futsuumeishi)",いちにん ひとり,一人 独り １人
103,もらう,モラッ,4378163,"to accept; to be affected; to catch; to contract (a disease); to get somebody to do something; to have in one's pocket (a fight, match); to receive; to take","Godan verb with 'u' ending, auxiliary verb, transitive verb",もらう,貰う
104,うん,ウン,4338102,fortune; luck,noun (common) (futsuumeishi),うん,運
105,大丈夫,ダイジョウブ,4310209,all right; alright; certainly; fine figure of a man; great man; I'm good; no thanks; OK; okay; problem-free; safe; secure,"adjectival nouns or quasi-adjectives (keiyodoshi), adverb (fukushi), interjection (kandoushi), noun (common) (futsuumeishi)",だいじょうぶ だいじょぶ,大丈夫
106,話す,ハナシ,4297694,to chat; to converse; to describe; to discuss; to explain; to mention; to narrate; to speak; to speak (a language); to talk; to tell,"Godan verb with 'su' ending, transitive verb",はなす,咄す 話す
107,場所,バショ,4284540,basho; location; place; position; room; space; spot; wrestling tournament,noun (common) (futsuumeishi),ばしょ,場所
108,ねぇ,ネェ,4199542,come on; don't you think; hey; listen; right?,"interjection (kandoushi), particle",ね ねぇ ねえ ねー,
109,ちゃう,チャッ,4196199,to do accidentally; to do completely; to do without meaning to; to happen to do,"Godan verb with 'u' ending, auxiliary verb",じゃう ちゃう,
110,作る,ツクッ,4188413,"to brew (alcohol); to build; to coin (a phrase); to commit (a sin, etc.); to compose; to construct; to create (an artistic work, etc.); to cultivate; to draw up (a document); to establish; to fabricate (an excuse, etc.); to feign (a smile, etc.)","Godan verb with 'ru' ending, transitive verb",つくる,作る 創る 造る
111,気持ち,キモチ,4179791,a bit; a little; attitude; consideration; feeling; gratitude; mood; preparedness; readiness; sensation; sentiment; slightly,"adverb (fukushi), noun (common) (futsuumeishi)",きもち,気持 気持ち
112,あれ,アレ,4175739,chaps (of skin); I; me; oneself; prefix indicating familiarity or contempt; stormy weather; tempest; you,"noun (common) (futsuumeishi), prefix, pronoun",あ あれ わ わぬ われ わろ,吾 吾れ 我 我れ 荒れ
113,強い,ツヨイ,4164131,being able to handle; brawny; competent; dependable; domineering; durable (against); fierce; firm; good (at); healthy; high; intense,adjective (keiyoushi),つよい,強い
114,身体,カラダ,4135332,body; build; constitution; corpse; dead body; figure; frame; health; physique; torso; trunk,noun (common) (futsuumeishi),からだ,体 身体 躯 躰
115,死ぬ,シン,4119107,to cease; to die; to look dead; to lose spirit; to lose vigor; to pass away; to stop,"Godan verb with 'nu' ending, intransitive verb, irregular nu verb",しぬ,死ぬ
116,一緒,イッショ,4109950,at the same time; identical; same; together,"adverb (fukushi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",いっしょ,一しょ 一緒
117,続ける,ツヅケ,4063756,to continue; to keep on; to keep up,"Ichidan verb, auxiliary verb, transitive verb",つづける,続ける
118,確か,タシカ,4041184,accurate; certain; correct; definite; exact; firm; If I remember correctly; If I remember rightly; If I'm not mistaken; positive; reliable; safe,"adjectival nouns or quasi-adjectives (keiyodoshi), adverb (fukushi), noun (common) (futsuumeishi)",たしか,慥か 確 確か
119,まあ,マア,4018649,"come now; fairly; good heavens!; goodness gracious!; Hmmm, I guess so...; I think...; it would seem...; just (e.g. ""just wait here""); moderately; now, now; oh dear!; oh!","adverb (fukushi), interjection (kandoushi)",ま まぁ まあ まー,
120,帰る,カエッ,4015321,to come home; to get home; to get to home plate; to go back; to go home; to leave; to return,"Godan verb with 'ru' ending, intransitive verb",かえる,帰る 歸る 還る
121,感ずる,カンジ,3996655,to feel; to sense,"Ichidan verb - zuru verb (alternative form of -jiru verbs), intransitive verb",かんずる,感ずる
122,くださる,クダサイ,3961558,to bestow; to confer; to favor; to favour; to give; to kindly do for one; to oblige,Godan verb - -aru special class,くださる,下さる
123,食べる,タベ,3934575,to eat; to live off; to live on (e.g. a salary); to subsist on,"Ichidan verb, transitive verb",たべる,喰べる 食べる
124,呼ぶ,ヨバ,3933054,"to brand; to call; to call out (to); to designate; to garner (support, etc.); to gather; to invite; to invoke; to name; to summon (a doctor, etc.); to take as one's wife","Godan verb with 'bu' ending, transitive verb",よぶ,呼ぶ 喚ぶ 招ぶ
125,よく,ヨク,3929053,"appetite; avarice; Chinese ""Wings"" constellation (one of the 28 mansions); counter for birds or bird wings; craving; desire; greed; hunger; wants; wing","counter, noun (common) (futsuumeishi), noun, used as a suffix, suffix",つばさ よく,慾 欲 翼
126,いつも,イツモ,3911079,all the time; always; at all times; customary; habitual; never; regular; usual,"adverb (fukushi), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",いつも,何時も
127,とる,トッ,3910795,"to accept; to acquire; to adopt; to adopt (a method, proposal, etc.); to buy; to catch; to catch (e.g. fish); to charge; to choose; to compete (in sumo, cards, etc.); to earn; to eat","Godan verb with 'ru' ending, transitive verb",とる,取る 撮る 録る
128,魔力,マリョク,3857065,charm; magical powers; spell; supernatural powers,noun (common) (futsuumeishi),まりょく,魔力
129,もし,モシ,3849127,mock exam; practice exam; practice test,noun (common) (futsuumeishi),もし,模試
130,あなた,アナタ,3769160,across; beyond; the distance; the other side,pronoun,あなた かなた,彼方
131,けれど,ケレド,3760869,although; but; however,"conjunction, particle",けど けども けれど けれども けんど,
132,向ける,ムケ,3728519,to point; to turn towards,"Ichidan verb, transitive verb",むける,向ける
133,入れる,イレ,3723827,"to accept; to admit; to adopt (a policy, etc.); to bring in; to call; to cast (a vote); to comply; to employ; to grant; to hire; to include; to ink in (e.g. tattoo)","Ichidan verb, transitive verb",いれる,入れる 函れる 容れる
134,少女,ショウジョ,3722295,female between 17 and 20 years old (ritsuryo period); female usually between 7 and 18 years old; little girl; maiden; young lady,noun (common) (futsuumeishi),おとめ しょうじょ,乙女 小女 少女
135,好き,スキ,3702057,(as) it suits one; eccentricity; elegant pursuits; faddism; favorite; favourite; in love (with); liked; loved; refined taste; romantically interested (in); the way one likes,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",すき,好き
136,表情,ヒョウジョウ,3675929,"appearance; countenance; expression (vocal, etc.); facial expression; look",noun (common) (futsuumeishi),ひょうじょう,表情
137,早い,ハヤク,3672543,"(too) early; (too) soon; brisk; early (in the day, etc.); easy; fast; hasty; not yet; premature; quick; simple",adjective (keiyoushi),はやい,捷い 早い 疾い 速い
138,以上,イジョウ,3672389,... and above; ... and over; ... and upwards; ... or more; above; above-mentioned; aforementioned; beyond (e.g. one's expectations); foregoing; further than; more than; not less than,"adverb (fukushi), expressions (phrases, clauses, etc.), noun (common) (futsuumeishi), nouns which may take the genitive case particle 'no'",いじょう,以上 已上
139,こちら,コチラ,3655404,here; I; me; this (one); this direction; this person; this way; us; we,pronoun,こち こちら こっち,此方
140,よい,ヨカッ,3619753,agreeable; all right; beneficial; enough; excellent; fine; good; nice; no problem; OK; pleasant; prepared,adjective (keiyoushi),えい よい,佳い 吉い 善い 好い 宜い 良い
141,居る,イ,3612336,to (have the audacity to) do; to be; to be (animate); to be ..ing; to exist,"Godan verb with 'ru' ending, auxiliary verb, intransitive verb",おる,居る
142,じゃあ,ジャア,3601212,be; is; so; then; well; well then,"conjunction, copula",じゃ じゃあ,
143,いつ,イツ,3594767,at what time; five; how soon; normal times; ordinary days; when,"numeric, pronoun",い いつ ご,五 伍 何時 ５
144,必要,ヒツヨウ,3540009,essential; indispensable; necessary; necessity; need; needed; requirement,"adjectival nouns or quasi-adjectives (keiyodoshi), noun (common) (futsuumeishi)",ひつよう,必用 必要
145,終わる,オワッ,3526637,to close; to come to an end; to end; to finish,"Godan verb with 'ru' ending, auxiliary verb, intransitive verb",おわる,了る 了わる 卒る 卒わる 畢る 畢わる 竟る 竟わる 終る 終わる
146,取る,トッ,3491251,"to accept; to acquire; to adopt; to adopt (a method, proposal, etc.); to buy; to catch; to catch (e.g. fish); to charge; to choose; to compete (in sumo, cards, etc.); to earn; to eat","Godan verb with 'ru' ending, transitive verb",とる,取る
147,上げる,アゲ,3489681,"(of the tide) to come in; to arrest; to bear (a child); to cite; to complete ...; to conduct (a ceremony, esp. a wedding); to deep-fry; to develop (talent, skill); to do for (the sake of someone else); to do up (one's hair); to earn (something desirable); to elevate","Ichidan verb, auxiliary verb, intransitive verb, transitive verb",あげる,上げる 挙げる 揚げる
148,通り,トオリ,3487089,about; Avenue; following; in accordance with; roughly; Street,"noun, used as a suffix",どおり,通り
149,様子,ヨウス,3482062,appearance; aspect; circumstances; indication; look; sign; situation; state; state of affairs,noun (common) (futsuumeishi),ようす,容子 様子
150,開く,ヒライ,3452173,"to be available; to be empty; to be free; to be open (e.g. neckline, etc.); to be vacant; to come to an end; to form a gap; to have a hole; to have an interval (between events); to have been opened (of one's eyes, mouth, etc.); to open (e.g. business, etc.); to open (e.g. doors)","Godan verb with 'ku' ending, intransitive verb, transitive verb",あく,明く 空く 開く
151,存在,ソンザイ,3444710,being; existence,"noun (common) (futsuumeishi), noun or participle which takes the aux. verb suru, nouns which may take the genitive case particle 'no'",そんざい,存在
